GeneIdentifier	Chromosome	Start	Stop	Strand
AT1G14750	Chr1	5082423	5082160	-
AT1G14800	Chr1	5099572	5099751	+
AT1G15085	Chr1	5192219	5192263	+
AT1G15530	Chr1	5341931	5339961	-
AT1G15600	Chr1	5368923	5369278	+
AT1G15680	Chr1	5393407	5394639	+
AT1G15850	Chr1	5454088	5454029	-
AT1G16022	Chr1	5501856	5501736	-
AT1G16025	Chr1	5501505	5501648	+
AT1G16090	Chr1	5516259	5516862	+
AT1G16380	Chr1	5601367	5601209	-
AT1G16940	Chr1	5791983	5792825	+
AT1G16945	Chr1	5793905	5793955	+
AT1G17000	Chr1	5812728	5812863	+
AT1G17065	Chr1	5832303	5832607	+
AT1G17150	Chr1	5865707	5865856	+
AT1G17235	Chr1	5895351	5896250	+
AT1G17250	Chr1	5903439	5901169	-
AT1G17260	Chr1	5904058	5904123	+
AT1G17545	Chr1	6033109	6033124	+
AT1G17770	Chr1	6120741	6122822	+
AT1G17910	Chr1	6159126	6160146	+
AT1G18050	Chr1	6211588	6211266	-
AT1G18130	Chr1	6235895	6235942	+
AT1G18193	Chr1	6262602	6262687	+
AT1G18220	Chr1	6269807	6269670	-
AT1G18310	Chr1	6303956	6303562	-
AT1G18420	Chr1	6343330	6343511	+
AT1G18486	Chr1	6366397	6366753	+
AT1G18510	Chr1	6373265	6373711	+
AT1G18760	Chr1	6471824	6471150	-
AT1G18770	Chr1	6474048	6473951	-
AT1G18780	Chr1	6477235	6476258	-
AT1G18790	Chr1	6480043	6479946	-
AT1G18871	Chr1	6519485	6519309	-
AT1G19060	Chr1	6583601	6583518	-
AT1G19070	Chr1	6584454	6584705	+
AT1G19086	Chr1	6588542	6588575	+
AT1G19160	Chr1	6615214	6614087	-
AT1G19260	Chr1	6659569	6657260	-
AT1G19390	Chr1	6703368	6702354	-
AT1G19394	Chr1	6709773	6709783	+
AT1G19410	Chr1	6716439	6716327	-
AT1G19460	Chr1	6738484	6739734	+
AT1G19470	Chr1	6741296	6742534	+
AT1G19565	Chr1	6773131	6773079	-
AT1G19620	Chr1	6784020	6784153	+
AT1G19930	Chr1	6917020	6917545	+
AT1G20000	Chr1	6937666	6937575	-
AT1G20240	Chr1	7015216	7014498	-
AT1G20290	Chr1	7029698	7029618	-
AT1G20520	Chr1	7107617	7106922	-
AT1G20570	Chr1	7126559	7126428	-
AT1G20590	Chr1	7132465	7132295	-
AT1G20600	Chr1	7133111	7133752	+
AT1G20700	Chr1	7182558	7182762	+
AT1G20710	Chr1	7184485	7184641	+
AT1G20735	Chr1	7197491	7198681	+
AT1G20795	Chr1	7227566	7226310	-
AT1G20800	Chr1	7230240	7229909	-
AT1G20803	Chr1	7231600	7231049	-
AT1G20875	Chr1	7261481	7261681	+
AT1G20923	Chr1	7290390	7290310	-
AT1G20925	Chr1	7289973	7290163	+
AT1G20940	Chr1	7296518	7295274	-
AT1G21245	Chr1	7436842	7437342	+
AT1G21313	Chr1	7453735	7453775	+
AT1G21320	Chr1	7466164	7466068	-
AT1G21323	Chr1	7466694	7466834	+
AT1G21430	Chr1	7500845	7501462	+
AT1G21530	Chr1	7546936	7546043	-
AT1G21620	Chr1	7579129	7579336	+
AT1G21722	Chr1	7628456	7628553	+
AT1G21835	Chr1	7665664	7665936	+
AT1G21850	Chr1	7670530	7670387	-
AT1G21860	Chr1	7674215	7674072	-
AT1G21866	Chr1	7677499	7677959	+
AT1G21870	Chr1	7678208	7678321	+
AT1G21925	Chr1	7710725	7710423	-
AT1G21928	Chr1	7712513	7712211	-
AT1G21940	Chr1	7716975	7716816	-
AT1G21960	Chr1	7725972	7726586	+
AT1G21990	Chr1	7742106	7741162	-
AT1G22010	Chr1	7749571	7750062	+
AT1G22120	Chr1	7809632	7809567	-
AT1G22420	Chr1	7917518	7916076	-
AT1G22670	Chr1	8023516	8023387	-
AT1G22720	Chr1	8045665	8045605	-
AT1G23037	Chr1	8162414	8162526	+
AT1G23250	Chr1	8256770	8256760	-
AT1G23270	Chr1	8260144	8259602	-
AT1G23300	Chr1	8266048	8265752	-
AT1G23320	Chr1	8275350	8275262	-
AT1G23450	Chr1	8324698	8326697	+
AT1G23500	Chr1	8339668	8339926	+
AT1G23650	Chr1	8371106	8371020	-
AT1G23680	Chr1	8377156	8377136	-
AT1G23770	Chr1	8406266	8405214	-
AT1G23810	Chr1	8417495	8417637	+
AT1G23910	Chr1	8451289	8451068	-
AT1G23995	Chr1	8487347	8487048	-
AT1G24060	Chr1	8510056	8509736	-
AT1G24159	Chr1	8552775	8552896	+
AT1G24200	Chr1	8572377	8572238	-
AT1G24230	Chr1	8585135	8584993	-
AT1G24250	Chr1	8589546	8589404	-
AT1G24256	Chr1	8592078	8592176	+
AT1G24388	Chr1	8648694	8648623	-
AT1G24390	Chr1	8648201	8648272	+
AT1G24485	Chr1	8678858	8678939	+
AT1G24545	Chr1	8702477	8702364	-
AT1G24650	Chr1	8734570	8736742	+
AT1G24807	Chr1	8773535	8773428	-
AT1G24822	Chr1	8777882	8777813	-
AT1G24851	Chr1	8778280	8780257	+
AT1G24909	Chr1	8787914	8787807	-
AT1G24996	Chr1	8800410	8800341	-
AT1G25025	Chr1	8800808	8801584	+
AT1G25054	Chr1	8804489	8804590	+
AT1G25083	Chr1	8810443	8810336	-
AT1G25097	Chr1	8814788	8814719	-
AT1G25112	Chr1	8815186	8815962	+
AT1G25141	Chr1	8817678	8818395	+
AT1G25145	Chr1	8818867	8818968	+
AT1G25155	Chr1	8824821	8824714	-
AT1G25180	Chr1	8829564	8831390	+
AT1G25210	Chr1	8833245	8833346	+
AT1G25270	Chr1	8857726	8857889	+
AT1G25300	Chr1	8871568	8872386	+
AT1G25310	Chr1	8874834	8874607	-
AT1G25410	Chr1	8915219	8914191	-
AT1G25988	Chr1	9017450	9017370	-
AT1G26100	Chr1	9024081	9023959	-
AT1G26140	Chr1	9039540	9039428	-
AT1G26225	Chr1	9072634	9072835	+
AT1G26350	Chr1	9116781	9116619	-
AT1G26355	Chr1	9118611	9118354	-
AT1G26400	Chr1	9134874	9133291	-
AT1G26500	Chr1	9158380	9159897	+
AT1G26510	Chr1	9161044	9159851	-
AT1G26515	Chr1	9162910	9161810	-
AT1G26750	Chr1	9246857	9246951	+
AT1G26773	Chr1	9264404	9264580	+
AT1G26890	Chr1	9317589	9318377	+
AT1G27135	Chr1	9427164	9427227	+
AT1G27220	Chr1	9463806	9463945	+
AT1G27240	Chr1	9466237	9466376	+
AT1G27250	Chr1	9468568	9468728	+
AT1G27260	Chr1	9469948	9470054	+
AT1G27270	Chr1	9472077	9472219	+
AT1G27280	Chr1	9474027	9474103	+
AT1G27490	Chr1	9547073	9546974	-
AT1G27535	Chr1	9564726	9565039	+
AT1G27550	Chr1	9569330	9569186	-
AT1G27555	Chr1	9570397	9570408	+
AT1G27570	Chr1	9575538	9575752	+
AT1G27580	Chr1	9591075	9590871	-
AT1G27640	Chr1	9614906	9614463	-
AT1G27820	Chr1	9691628	9692560	+
AT1G27860	Chr1	9706238	9706152	-
AT1G27870	Chr1	9707298	9706657	-
AT1G28005	Chr1	9756927	9757182	+
AT1G28020	Chr1	9771157	9771041	-
AT1G28030	Chr1	9771793	9772175	+
AT1G28265	Chr1	9879035	9879310	+
AT1G28460	Chr1	10006230	10006778	+
AT1G28500	Chr1	10018691	10018777	+
AT1G28690	Chr1	10081604	10080042	-
AT1G29005	Chr1	10114912	10114924	+
AT1G29010	Chr1	10117715	10118074	+
AT1G29041	Chr1	10135451	10135987	+
AT1G29110	Chr1	10171683	10172136	+
AT1G29180	Chr1	10199628	10200962	+
AT1G29355	Chr1	10274048	10274049	+
AT1G29435	Chr1	10303890	10303894	+
AT1G29480	Chr1	10317936	10318109	+
AT1G29570	Chr1	10335910	10335990	+
AT1G29580	Chr1	10338443	10338532	+
AT1G29620	Chr1	10347363	10347424	+
AT1G29775	Chr1	10426947	10426944	-
AT1G29780	Chr1	10426950	10427615	+
AT1G29830	Chr1	10441053	10441185	+
AT1G29870	Chr1	10458782	10458462	-
AT1G29962	Chr1	10496730	10497287	+
AT1G30010	Chr1	10513194	10515498	+
AT1G30020	Chr1	10516347	10515874	-
AT1G30060	Chr1	10545906	10545804	-
AT1G30290	Chr1	10672740	10670400	-
AT1G30455	Chr1	10769722	10769941	+
AT1G30670	Chr1	10880188	10879595	-
AT1G30760	Chr1	10918267	10918817	+
AT1G30780	Chr1	10926561	10926107	-
AT1G30790	Chr1	10932713	10934066	+
AT1G30920	Chr1	11005444	11004084	-
AT1G30925	Chr1	11012280	11011880	-
AT1G30930	Chr1	11015913	11014783	-
AT1G31000	Chr1	11054567	11054308	-
AT1G31080	Chr1	11091832	11092899	+
AT1G31090	Chr1	11094407	11094880	+
AT1G31095	Chr1	11102778	11102790	+
AT1G31163	Chr1	11130239	11130090	-
AT1G31243	Chr1	11164639	11165022	+
AT1G31260	Chr1	11177362	11176724	-
AT1G31270	Chr1	11178349	11178429	+
AT1G31370	Chr1	11239363	11239205	-
AT1G31380	Chr1	11241099	11240923	-
AT1G31390	Chr1	11244392	11244286	-
AT1G31430	Chr1	11255737	11254016	-
AT1G31510	Chr1	11277417	11278104	+
AT1G31520	Chr1	11279639	11279581	-
AT1G31530	Chr1	11282468	11282422	-
AT1G31555	Chr1	11298409	11298323	-
AT1G31620	Chr1	11316941	11317007	+
AT1G31630	Chr1	11319547	11318528	-
AT1G31640	Chr1	11324176	11322919	-
AT1G31740	Chr1	11369839	11369687	-
AT1G31960	Chr1	11479654	11479133	-
AT1G32000	Chr1	11508909	11508577	-
AT1G32010	Chr1	11512040	11511173	-
AT1G32020	Chr1	11513067	11512552	-
AT1G32030	Chr1	11514594	11515595	+
AT1G32140	Chr1	11564833	11563643	-
AT1G32270	Chr1	11642593	11643050	+
AT1G32320	Chr1	11655156	11656073	+
AT1G32337	Chr1	11661815	11661934	+
AT1G32361	Chr1	11675531	11676748	+
AT1G32420	Chr1	11701995	11702903	+
AT1G32480	Chr1	11741083	11741990	+
AT1G32550	Chr1	11774117	11773893	-
AT1G32585	Chr1	11789177	11788515	-
AT1G32600	Chr1	11794802	11795683	+
AT1G32660	Chr1	11811040	11812380	+
AT1G32710	Chr1	11833113	11833360	+
AT1G32720	Chr1	11834902	11834963	+
AT1G32850	Chr1	11902629	11902774	+
AT1G32880	Chr1	11914735	11914610	-
AT1G32970	Chr1	11951982	11951914	-
AT1G32975	Chr1	11953089	11953122	+
AT1G33010	Chr1	11959287	11959399	+
AT1G33020	Chr1	11962746	11964212	+
AT1G33070	Chr1	11982889	11982963	+
AT1G33220	Chr1	12044872	12045879	+
AT1G33320	Chr1	12081009	12081209	+
AT1G33530	Chr1	12159884	12161126	+
AT1G33607	Chr1	12187423	12187359	-
AT1G33670	Chr1	12201963	12203408	+
AT1G33710	Chr1	12219657	12220289	+
AT1G33820	Chr1	12279451	12279392	-
AT1G33830	Chr1	12281406	12281208	-
AT1G33850	Chr1	12288210	12288068	-
AT1G33860	Chr1	12294394	12294604	+
AT1G33900	Chr1	12313518	12313287	-
AT1G33910	Chr1	12314904	12315099	+
AT1G33920	Chr1	12319905	12320026	+
AT1G33940	Chr1	12332785	12332494	-
AT1G34015	Chr1	12361832	12361866	+
AT1G34049	Chr1	12390448	12390474	+
AT1G34065	Chr1	12401036	12400986	-
AT1G34070	Chr1	12402283	12403209	+
AT1G34095	Chr1	12412514	12412497	-
AT1G34140	Chr1	12434735	12433977	-
AT1G34170	Chr1	12446764	12446722	-
AT1G34290	Chr1	12498000	12498800	+
AT1G34310	Chr1	12511520	12511472	-
AT1G34315	Chr1	12516521	12516421	-
AT1G34317	Chr1	12516112	12516191	+
AT1G34390	Chr1	12556005	12556053	+
AT1G34400	Chr1	12566615	12566554	-
AT1G34410	Chr1	12577722	12577770	+
AT1G34460	Chr1	12595110	12595265	+
AT1G34500	Chr1	12611638	12612663	+
AT1G34540	Chr1	12637054	12638692	+
AT1G34550	Chr1	12652646	12652395	-
AT1G34560	Chr1	12653961	12654037	+
AT1G34792	Chr1	12766651	12766263	-
AT1G34800	Chr1	12773442	12773164	-
AT1G34805	Chr1	12776856	12776578	-
AT1G34807	Chr1	12777711	12777906	+
AT1G34810	Chr1	12780270	12779992	-
AT1G34812	Chr1	12781126	12781321	+
AT1G34815	Chr1	12783684	12783406	-
AT1G34817	Chr1	12784536	12784731	+
AT1G34820	Chr1	12787095	12786817	-
AT1G34822	Chr1	12787950	12788145	+
AT1G34827	Chr1	12791364	12791559	+
AT1G34840	Chr1	12797247	12796984	-
AT1G34850	Chr1	12800571	12800308	-
AT1G34855	Chr1	12801427	12801622	+
AT1G34860	Chr1	12803986	12803708	-
AT1G34910	Chr1	12804834	12804966	+
AT1G34930	Chr1	12807399	12807121	-
AT1G35030	Chr1	12808246	12808447	+
AT1G35035	Chr1	12811308	12811030	-
AT1G35040	Chr1	12812157	12812279	+
AT1G35150	Chr1	12866238	12865973	-
AT1G35181	Chr1	12879306	12879470	+
AT1G35240	Chr1	12930523	12930475	-
AT1G35320	Chr1	12962853	12962763	-
AT1G35353	Chr1	12988649	12988917	+
AT1G35365	Chr1	12991392	12991682	+
AT1G35375	Chr1	13006187	13005863	-
AT1G35400	Chr1	13018289	13018335	+
AT1G35410	Chr1	13024161	13024186	+
AT1G35440	Chr1	13036037	13035294	-
AT1G35500	Chr1	13066087	13066426	+
AT1G35520	Chr1	13085830	13085782	-
AT1G35540	Chr1	13108634	13108682	+
AT1G35610	Chr1	13144988	13143061	-
AT1G35614	Chr1	13148592	13148736	+
AT1G35617	Chr1	13153583	13153948	+
AT1G35750	Chr1	13255570	13254666	-
AT1G35820	Chr1	13309257	13309207	-
AT1G35850	Chr1	13330510	13330728	+
AT1G35860	Chr1	13334050	13333987	-
AT1G35880	Chr1	13341228	13341158	-
AT1G35890	Chr1	13341300	13341488	+
AT1G36005	Chr1	13432418	13432649	+
AT1G36020	Chr1	13434340	13434269	-
AT1G36030	Chr1	13436586	13436828	+
AT1G36095	Chr1	13492725	13492323	-
AT1G36100	Chr1	13494652	13495215	+
AT1G36150	Chr1	13528257	13528620	+
AT1G36230	Chr1	13614051	13614027	-
AT1G36240	Chr1	13614890	13614910	+
AT1G36272	Chr1	13635521	13635336	-
AT1G36325	Chr1	13683045	13682893	-
AT1G36510	Chr1	13761926	13762063	+
AT1G36675	Chr1	13867568	13867879	+
AT1G36745	Chr1	13911137	13911276	+
AT1G36756	Chr1	13917331	13917475	+
AT1G36925	Chr1	13986436	13986520	+
AT1G36942	Chr1	14006341	14006147	-
AT1G36950	Chr1	14010822	14010706	-
AT1G36960	Chr1	14014796	14015044	+
AT1G36970	Chr1	14018356	14018350	-
AT1G37000	Chr1	14036038	14036127	+
AT1G37010	Chr1	14040918	14040973	+
AT1G37020	Chr1	14046735	14046903	+
AT1G37113	Chr1	14136413	14136675	+
AT1G38790	Chr1	14544528	14544480	-
AT1G39060	Chr1	14701718	14701721	+
AT1G39070	Chr1	14733525	14733528	+
AT1G40083	Chr1	14923055	14922922	-
AT1G40086	Chr1	14930278	14930287	+
AT1G40087	Chr1	15001868	15001745	-
AT1G40090	Chr1	15013792	15013795	+
AT1G40104	Chr1	15081952	15082000	+
AT1G40129	Chr1	15240553	15240612	+
AT1G40390	Chr1	15434674	15434391	-
AT1G41820	Chr1	15585143	15585050	-
AT1G41920	Chr1	15684487	15684474	-
AT1G42080	Chr1	15717169	15716714	-
AT1G42190	Chr1	15761082	15761276	+
AT1G42525	Chr1	15966381	15966590	+
AT1G42615	Chr1	16037606	16037771	+
AT1G42680	Chr1	16041656	16041715	+
AT1G42700	Chr1	16066931	16066990	+
AT1G42710	Chr1	16078567	16078516	-
AT1G43005	Chr1	16151095	16151115	+
AT1G43010	Chr1	16153609	16153875	+
AT1G43080	Chr1	16215828	16215685	-
AT1G43090	Chr1	16219150	16219007	-
AT1G43100	Chr1	16222473	16222330	-
AT1G43140	Chr1	16232785	16232792	+
AT1G43145	Chr1	16238525	16238542	+
AT1G43260	Chr1	16318253	16318340	+
AT1G43310	Chr1	16346475	16346353	-
AT1G43320	Chr1	16356762	16357118	+
AT1G43330	Chr1	16359029	16359139	+
AT1G43415	Chr1	16378974	16379105	+
AT1G43600	Chr1	16415357	16416022	+
AT1G43610	Chr1	16424578	16425345	+
AT1G43665	Chr1	16453804	16453518	-
AT1G43680	Chr1	16472205	16472422	+
AT1G43720	Chr1	16495080	16495286	+
AT1G43722	Chr1	16496403	16497377	+
AT1G43730	Chr1	16509784	16509458	-
AT1G43760	Chr1	16531065	16530552	-
AT1G43780	Chr1	16563811	16564075	+
AT1G43810	Chr1	16580800	16580447	-
AT1G43825	Chr1	16608818	16608603	-
AT1G43950	Chr1	16673952	16673904	-
AT1G43970	Chr1	16681269	16681400	+
AT1G44020	Chr1	16718656	16718247	-
AT1G44080	Chr1	16755670	16755280	-
AT1G44085	Chr1	16758508	16758436	-
AT1G44090	Chr1	16762486	16761933	-
AT1G44191	Chr1	16814733	16813599	-
AT1G44318	Chr1	16831016	16831252	+
AT1G44478	Chr1	16853238	16853200	-
AT1G44895	Chr1	16965181	16965316	+
AT1G44940	Chr1	16994155	16994170	+
AT1G44941	Chr1	16995295	16995113	-
AT1G44980	Chr1	17005923	17005858	-
AT1G44990	Chr1	17007808	17007759	-
AT1G45100	Chr1	17050631	17051072	+
AT1G45163	Chr1	17091464	17090677	-
AT1G45243	Chr1	17147058	17147849	+
AT1G45403	Chr1	17177804	17177874	+
AT1G46336	Chr1	17230653	17230411	-
AT1G46696	Chr1	17264183	17263887	-
AT1G46840	Chr1	17270185	17271408	+
AT1G46912	Chr1	17272521	17272876	+
AT1G46984	Chr1	17274722	17275834	+
AT1G47130	Chr1	17291755	17291774	+
AT1G47220	Chr1	17303676	17303879	+
AT1G47300	Chr1	17340972	17340475	-
AT1G47317	Chr1	17347094	17347145	+
AT1G47350	Chr1	17360722	17360332	-
AT1G47370	Chr1	17368703	17368477	-
AT1G47390	Chr1	17379544	17380656	+
AT1G47495	Chr1	17429813	17429671	-
AT1G47657	Chr1	17531871	17531978	+
AT1G47660	Chr1	17535551	17535181	-
AT1G47680	Chr1	17540775	17541089	+
AT1G47695	Chr1	17546545	17546326	-
AT1G47730	Chr1	17565106	17563931	-
AT1G47765	Chr1	17576092	17575730	-
AT1G47770	Chr1	17590266	17590412	+
AT1G47780	Chr1	17594683	17594751	+
AT1G47786	Chr1	17597898	17598109	+
AT1G47790	Chr1	17601173	17600004	-
AT1G47800	Chr1	17601513	17602676	+
AT1G47810	Chr1	17603504	17604559	+
AT1G47813	Chr1	17606558	17606662	+
AT1G47845	Chr1	17624274	17624155	-
AT1G47885	Chr1	17642805	17642721	-
AT1G47890	Chr1	17643976	17647107	+
AT1G47915	Chr1	17660752	17661058	+
AT1G47920	Chr1	17661095	17661763	+
AT1G47940	Chr1	17668285	17668329	+
AT1G48010	Chr1	17712660	17712517	-
AT1G48095	Chr1	17760142	17760199	+
AT1G48145	Chr1	17784913	17784866	-
AT1G48150	Chr1	17785397	17786368	+
AT1G48190	Chr1	17795163	17795094	-
AT1G48220	Chr1	17802863	17802944	+
AT1G48285	Chr1	17844900	17844727	-
AT1G48400	Chr1	17883855	17883003	-
AT1G48405	Chr1	17885614	17885569	-
AT1G48725	Chr1	18019274	18019333	+
AT1G48730	Chr1	18022277	18022201	-
AT1G48820	Chr1	18055229	18055483	+
AT1G48910	Chr1	18091681	18092289	+
AT1G48912	Chr1	18094900	18095046	+
AT1G49015	Chr1	18134528	18134577	+
AT1G49100	Chr1	18170105	18170021	-
AT1G49120	Chr1	18173427	18174416	+
AT1G49250	Chr1	18220533	18220701	+
AT1G49420	Chr1	18288650	18288627	-
AT1G49435	Chr1	18299862	18299814	-
AT1G49610	Chr1	18363192	18362749	-
AT1G49680	Chr1	18386867	18387166	+
AT1G49770	Chr1	18424578	18424883	+
AT1G49810	Chr1	18442237	18442118	-
AT1G49900	Chr1	18477643	18476413	-
AT1G49930	Chr1	18484932	18485039	+
AT1G50080	Chr1	18554276	18554001	-
AT1G50160	Chr1	18581429	18581650	+
AT1G50190	Chr1	18590799	18590178	-
AT1G50340	Chr1	18647849	18647376	-
AT1G50390	Chr1	18667677	18667540	-
AT1G50470	Chr1	18700444	18700372	-
AT1G50530	Chr1	18721729	18721565	-
AT1G50680	Chr1	18778614	18777601	-
AT1G50750	Chr1	18812050	18811281	-
AT1G50770	Chr1	18820503	18819837	-
AT1G50780	Chr1	18821267	18821344	+
AT1G50820	Chr1	18834861	18833314	-
AT1G50870	Chr1	18855147	18856337	+
AT1G50880	Chr1	18860837	18861133	+
AT1G50980	Chr1	18902057	18901834	-
AT1G51040	Chr1	18920658	18920998	+
AT1G51055	Chr1	18926315	18926303	-
AT1G51120	Chr1	18938091	18939149	+
AT1G51150	Chr1	18949290	18949035	-
AT1G51172	Chr1	18963205	18963769	+
AT1G51230	Chr1	18997434	18997026	-
AT1G51290	Chr1	19012173	19013306	+
AT1G51300	Chr1	19016103	19016094	-
AT1G51320	Chr1	19025642	19026769	+
AT1G51330	Chr1	19029844	19029752	-
AT1G51430	Chr1	19068241	19068300	+
AT1G51490	Chr1	19094888	19095004	+
AT1G51530	Chr1	19109854	19110006	+
AT1G51823	Chr1	19242294	19242437	+
AT1G51900	Chr1	19282895	19282299	-
AT1G51910	Chr1	19288385	19288304	-
AT1G51930	Chr1	19295236	19294838	-
AT1G51970	Chr1	19314916	19314542	-
AT1G51990	Chr1	19330949	19331358	+
AT1G52110	Chr1	19389740	19389613	-
AT1G52180	Chr1	19425928	19425821	-
AT1G52325	Chr1	19488418	19488286	-
AT1G52440	Chr1	19538821	19538833	+
AT1G52490	Chr1	19556945	19556649	-
AT1G52495	Chr1	19559143	19558893	-
AT1G52603	Chr1	19595751	19595942	+
AT1G52650	Chr1	19610856	19611770	+
AT1G52790	Chr1	19663301	19662937	-
AT1G52810	Chr1	19667127	19667509	+
AT1G52900	Chr1	19702916	19702402	-
AT1G52940	Chr1	19716402	19716452	+
AT1G52950	Chr1	19725483	19725629	+
AT1G52970	Chr1	19737083	19736482	-
AT1G52990	Chr1	19743449	19743310	-
AT1G53000	Chr1	19747804	19747791	-
AT1G53010	Chr1	19747847	19748383	+
AT1G53023	Chr1	19755843	19755829	-
AT1G53230	Chr1	19851435	19850260	-
AT1G53265	Chr1	19861475	19861098	-
AT1G53282	Chr1	19868335	19868130	-
AT1G53325	Chr1	19895733	19895227	-
AT1G53360	Chr1	19907179	19907272	+
AT1G53366	Chr1	19909977	19909840	-
AT1G53370	Chr1	19910516	19910905	+
AT1G53420	Chr1	19931494	19931401	-
AT1G53480	Chr1	19964712	19964605	-
AT1G53541	Chr1	19981495	19981385	-
AT1G53542	Chr1	19981628	19981813	+
AT1G53550	Chr1	19983411	19984637	+
AT1G53610	Chr1	20009320	20009120	-
AT1G53633	Chr1	20017932	20017859	-
AT1G53705	Chr1	20051451	20051201	-
AT1G53815	Chr1	20090962	20090249	-
AT1G53820	Chr1	20091491	20092423	+
AT1G53930	Chr1	20140887	20140279	-
AT1G53945	Chr1	20146813	20146393	-
AT1G53990	Chr1	20151016	20151256	+
