GeneIdentifier	Start	Strand
AT1G01870	306384	+
AT1G01880	309541	-
AT1G01890	309347	-
AT1G01900	310169	+
AT1G01910	316090	-
AT1G01920	315983	+
AT1G01930	322895	-
AT1G01940	322886	+
AT1G01950	325316	+
AT1G01960	337912	-
AT1G01970	338241	+
AT1G01980	342040	-
AT1G01990	344400	-
AT1G02000	345516	+
AT1G02010	347613	+
AT1G02020	355021	-
AT1G02030	357258	-
AT1G02040	359078	-
AT1G02050	360746	-
AT1G02060	363142	-
AT1G02065	365165	+
AT1G02067	367166	-
AT1G02070	371090	-
AT1G02080	373335	+
AT1G02090	389808	-
AT1G02100	389812	+
AT1G02110	392831	+
AT1G02120	395689	+
AT1G02130	401919	-
AT1G02140	404456	-
AT1G02145	404600	+
AT1G02150	408622	+
AT1G02160	410744	+
AT1G02170	411664	+
AT1G02180	414649	-
AT1G02190	415074	+
AT1G02205	418416	+
AT1G02210	427811	-
AT1G02220	430720	-
AT1G02228	433819	-
AT1G02230	436922	-
AT1G02250	439559	-
AT1G02260	442972	-
AT1G02270	446296	-
AT1G02280	450426	-
AT1G02290	452743	-
AT1G02300	453107	+
AT1G02305	455688	+
AT1G02310	460831	-
AT1G02320	461828	+
AT1G02330	463618	-
AT1G02335	464981	-
AT1G02340	467880	-
AT1G02350	469818	+
AT1G02360	473336	-
AT1G02370	474373	+
AT1G02380	476945	+
AT1G02390	480650	+
AT1G02400	486800	+
AT1G02405	490627	-
AT1G02410	490860	+
AT1G02420	493639	+
AT1G02430	496332	-
AT1G02440	497555	-
AT1G02450	498539	-
AT1G02460	507268	-
AT1G02470	513721	-
AT1G02475	515422	-
AT1G02480	515494	+
AT1G02490	516569	+
AT1G02500	518091	+
AT1G02510	521668	-
AT1G02520	523536	+
AT1G02530	529679	+
AT1G02540	535699	-
AT1G02550	536483	+
AT1G02560	537740	+
AT1G02570	541236	+
AT1G02575	543011	+
AT1G02580	544733	+
AT1G02590	552761	-
AT1G02600	552640	+
AT1G02610	556152	-
AT1G02620	557092	+
AT1G02630	562598	-
AT1G02640	564018	+
AT1G02650	568558	+
AT1G02660	575085	-
AT1G02670	575922	+
AT1G02680	580625	+
AT1G02690	584134	+
AT1G02700	588003	+
AT1G02705	589584	+
AT1G02710	589996	-
AT1G02720	591682	+
AT1G02730	598657	-
AT1G02740	602199	-
AT1G02750	602489	+
AT1G02760	604402	+
AT1G02770	606708	-
AT1G02780	609534	-
AT1G02790	612324	-
AT1G02800	616231	-
AT1G02810	618061	+
AT1G02813	620678	+
AT1G02816	621453	+
AT1G02820	624567	-
AT1G02830	625608	-
AT1G02840	626639	+
AT1G02850	630374	+
AT1G02860	635144	+
AT1G02870	638681	-
AT1G02880	644903	-
AT1G02890	652001	-
AT1G02900	654457	-
AT1G02910	658216	-
AT1G02920	659980	-
AT1G02930	662456	-
AT1G02940	664290	-
AT1G02950	666471	-
AT1G02952	665354	+
AT1G02960	669919	-
AT1G02965	672814	-
AT1G02970	673306	+
AT1G02980	677360	+
AT1G02990	687315	-
AT1G03000	692660	-
AT1G03010	693190	+
AT1G03020	698591	-
AT1G03030	701365	+
AT1G03040	706689	-
AT1G03050	707485	+
AT1G03055	711857	-
AT1G03060	727553	-
AT1G03070	729830	+
AT1G03080	738306	-
AT1G03090	739544	+
AT1G03100	746479	-
AT1G03103	747197	+
AT1G03106	749034	-
AT1G03110	749246	+
AT1G03120	752191	+
AT1G03130	754262	-
AT1G03140	756303	-
AT1G03150	756414	+
AT1G03160	761261	+
AT1G03165	766336	+
AT1G03170	768376	+
AT1G03180	773358	+
AT1G03190	775527	+
AT1G03200	780519	+
AT1G03210	782904	+
AT1G03220	786832	+
AT1G03230	789820	+
AT1G03240	793060	-
AT1G03250	795403	-
AT1G03260	798491	-
AT1G03270	799115	+
AT1G03280	802970	+
AT1G03290	807361	+
AT1G03300	813086	-
AT1G03310	813413	+
AT1G03320	816989	+
AT1G03325	817178	-
AT1G03330	819563	-
AT1G03340	819612	+
AT1G03350	824410	-
AT1G03360	824517	+
AT1G03365	826523	+
AT1G03370	830550	+
AT1G03380	835767	+
AT1G03390	842418	-
AT1G03395	841677	+
AT1G03400	844251	-
AT1G03410	847683	-
AT1G03420	846664	+
AT1G03430	847793	+
AT1G03440	852151	+
AT1G03445	859701	-
AT1G03457	864372	-
AT1G03470	867733	-
AT1G03475	871308	-
AT1G03490	871874	+
AT1G03495	873166	+
AT1G03502	875471	-
AT1G03506	875604	-
AT1G03510	877556	-
AT1G03515	877648	+
AT1G03520	880158	-
AT1G03530	883599	-
AT1G03540	883683	+
AT1G03545	885941	+
AT1G03550	887956	-
AT1G03560	892492	-
AT1G03570	892514	+
AT1G03590	897718	-
AT1G03600	898480	+
AT1G03610	900732	+
AT1G03620	907643	-
AT1G03630	907523	+
AT1G03640	909883	-
AT1G03650	911292	-
AT1G03660	913808	-
AT1G03670	916222	-
AT1G03680	918064	-
AT1G03687	918285	+
AT1G03700	920950	+
AT1G03710	923390	+
AT1G03720	926373	-
AT1G03730	931985	-
AT1G03740	933426	+
AT1G03743	937287	-
AT1G03746	937485	-
AT1G03750	937826	+
AT1G03760	943377	-
AT1G03770	944572	+
AT1G03780	951850	-
AT1G03790	954290	+
AT1G03800	958383	-
AT1G03810	958759	+
AT1G03820	960916	-
AT1G03830	966790	-
AT1G03840	970334	-
AT1G03850	977911	-
AT1G03860	982002	-
AT1G03870	983544	-
AT1G03880	985751	+
AT1G03890	989198	+
AT1G03900	991106	+
AT1G03905	993400	+
AT1G03910	996076	+
AT1G03920	1001116	+
AT1G03930	1004688	+
AT1G03935	1008810	+
AT1G03940	1011145	-
AT1G03950	1013365	-
AT1G03960	1013643	+
AT1G03970	1018100	+
AT1G03980	1022108	-
AT1G03982	1023719	-
AT1G03987	11101	+
AT1G03990	1024740	+
AT1G03993	24099	-
AT1G03997	32727	+
AT1G04000	1029119	-
AT1G04003	43295	-
AT1G04007	73108	-
AT1G04010	1036264	-
AT1G04013	74435	+
AT1G04017	90401	-
AT1G04020	1036493	+
AT1G04023	91685	-
AT1G04030	1040375	+
AT1G04033	255022	+
AT1G04037	258963	-
AT1G04040	1043887	-
AT1G04043	268336	-
AT1G04047	270067	+
AT1G04050	1049864	-
AT1G04053	276319	-
AT1G04057	276543	+
AT1G04063	292061	-
AT1G04067	303977	-
AT1G04070	1051194	-
AT1G04073	304481	+
AT1G04077	312884	-
AT1G04080	1051312	+
AT1G04083	314189	+
AT1G04087	402086	+
AT1G04090	1057041	+
AT1G04093	424666	+
AT1G04097	456198	-
AT1G04100	1059470	+
AT1G04103	459122	+
AT1G04105	1060348	-
AT1G04107	471498	-
AT1G04110	1063809	-
AT1G04117	495548	-
AT1G04120	1071080	-
AT1G04123	495887	+
AT1G04127	551529	-
AT1G04130	1073274	+
AT1G04133	558492	-
AT1G04137	559735	+
AT1G04140	1080630	-
AT1G04143	583860	-
AT1G04147	636614	-
AT1G04150	1084431	-
AT1G04153	637772	+
AT1G04157	742522	-
AT1G04160	1086170	+
AT1G04163	744724	+
AT1G04167	761099	-
AT1G04170	1096882	+
AT1G04173	767385	-
AT1G04177	780107	+
AT1G04180	1104493	+
AT1G04183	845677	+
AT1G04187	875189	-
AT1G04190	1108725	-
AT1G04193	875340	-
AT1G04197	875823	-
AT1G04200	1109395	+
AT1G04203	913390	+
AT1G04207	927200	-
AT1G04210	1114375	+
AT1G04213	937141	-
AT1G04217	1008592	+
AT1G04220	1122786	-
AT1G04223	1009073	+
AT1G04227	1009249	+
AT1G04230	1125515	+
AT1G04233	1018514	-
AT1G04237	1043118	+
AT1G04240	1129689	-
AT1G04243	1072780	-
AT1G04247	1120225	+
AT1G04250	1136078	+
AT1G04253	1134997	-
AT1G04257	1178925	+
AT1G04260	1141564	-
AT1G04263	1215831	-
AT1G04267	1216552	+
AT1G04270	1143130	-
AT1G04273	1216722	+
AT1G04277	1216921	+
AT1G04280	1147091	-
AT1G04283	1299553	+
AT1G04287	1333696	+
AT1G04290	1148533	-
AT1G04293	1383059	-
AT1G04295	1147781	+
AT1G04297	1386132	-
AT1G04300	1154667	-
AT1G04303	1388988	+
AT1G04307	1429889	-
AT1G04310	1157786	-
AT1G04313	1445039	-
AT1G04317	1446155	+
AT1G04320	1159023	+
AT1G04323	1446835	+
AT1G04327	1461934	+
AT1G04330	1161982	-
AT1G04333	1462340	-
AT1G04337	1496735	+
AT1G04340	1164861	-
AT1G04343	1509015	-
AT1G04347	1509751	+
AT1G04350	1164910	+
AT1G04353	1512618	+
AT1G04357	1524069	-
AT1G04360	1169034	-
AT1G04363	1523594	+
AT1G04367	1525242	-
AT1G04370	1175033	+
AT1G04373	1538484	-
AT1G04377	1543287	-
AT1G04380	1178488	-
AT1G04383	1543157	+
AT1G04387	1543643	+
AT1G04390	1183704	-
AT1G04397	1661408	+
AT1G04400	1188696	-
AT1G04403	1693804	-
AT1G04407	1713740	-
AT1G04410	1191458	-
AT1G04413	1717730	+
AT1G04417	1719659	-
AT1G04420	1191519	+
AT1G04425	1194187	+
AT1G04427	1729587	+
AT1G04430	1197956	+
AT1G04433	1762693	-
AT1G04437	1764573	+
AT1G04440	1202160	+
AT1G04443	1839729	-
AT1G04445	1206760	+
AT1G04447	1887404	+
AT1G04450	1208521	+
AT1G04453	1954192	-
AT1G04455	1210269	+
AT1G04463	1966939	-
AT1G04467	1968861	+
AT1G04470	1214841	-
AT1G04473	1990158	-
AT1G04477	1991587	+
AT1G04480	1215925	+
AT1G04483	2011109	-
AT1G04487	2036257	-
AT1G04490	1220899	-
AT1G04493	2055991	+
AT1G04497	2056863	+
AT1G04500	1224539	-
AT1G04503	2076515	+
AT1G04507	2089235	-
AT1G04510	1226483	+
AT1G04513	2089765	+
AT1G04517	2107396	-
AT1G04520	1231452	+
AT1G04523	2108063	-
AT1G04527	2111147	-
AT1G04530	1236206	-
AT1G04533	2127973	-
AT1G04537	2155213	+
AT1G04540	1236754	+
AT1G04543	2156201	+
AT1G04547	2156306	-
AT1G04550	1240294	+
AT1G04555	1242506	+
AT1G04557	2166659	+
AT1G04560	1244947	+
AT1G04563	2186933	+
AT1G04567	2218886	+
AT1G04570	1248876	-
AT1G04573	2241744	-
AT1G04577	2293251	-
AT1G04580	1257893	-
AT1G04583	2294889	+
AT1G04587	2297262	+
AT1G04590	1261470	-
AT1G04593	2321382	+
AT1G04597	2334333	+
AT1G04600	1261762	+
AT1G04603	2340559	+
AT1G04607	2348447	-
AT1G04610	1279351	+
AT1G04613	2352911	-
AT1G04620	1286619	-
AT1G04623	2394474	-
AT1G04625	1289820	-
AT1G04630	1291112	-
AT1G04635	1291300	+
AT1G04640	1292023	+
AT1G04643	2539548	-
AT1G04645	1294263	-
AT1G04647	2620439	+
AT1G04650	1299023	-
AT1G04653	2629836	+
AT1G04657	2736830	-
AT1G04660	1301773	-
AT1G04667	2825588	+
AT1G04670	1301829	+
AT1G04673	2861854	-
AT1G04677	2865011	-
AT1G04680	1307973	-
AT1G04683	2865792	-
AT1G04687	2987995	-
AT1G04690	1313443	+
AT1G04693	2987676	+
AT1G04697	3032139	-
AT1G04700	1316139	+
AT1G04703	3083820	+
AT1G04707	3112619	-
AT1G04710	1321885	+
AT1G04713	3125609	-
AT1G04717	3132215	-
AT1G04720	1324923	+
AT1G04723	3174422	-
AT1G04730	1331169	-
AT1G04733	3180736	-
AT1G04737	3202774	-
AT1G04743	3204309	+
AT1G04747	3212812	+
AT1G04750	1333651	-
AT1G04753	3248058	-
AT1G04760	1334533	+
AT1G04763	3302419	-
AT1G04767	3303760	-
AT1G04770	1337849	-
AT1G04773	3305948	+
AT1G04778	1339588	+
AT1G04780	1343793	-
AT1G04783	3362012	-
AT1G04787	3406209	+
AT1G04790	1344989	+
AT1G04793	3422720	+
AT1G04797	3470918	-
AT1G04800	1349478	-
AT1G04803	3472127	+
AT1G04807	3514770	+
AT1G04810	1350080	+
AT1G04813	3529759	-
AT1G04817	3575377	+
AT1G04820	1358547	-
AT1G04823	3612255	-
AT1G04827	3615292	+
AT1G04830	1362019	-
AT1G04833	3684151	-
AT1G04837	3703796	-
AT1G04840	1365027	-
AT1G04847	3841171	-
AT1G04850	1368940	-
AT1G04853	3874895	-
AT1G04857	3891972	-
AT1G04860	1373103	-
AT1G04863	3937780	-
AT1G04867	3943179	+
AT1G04870	1375821	-
AT1G04873	3951671	-
AT1G04877	3960944	+
AT1G04880	1379228	-
AT1G04883	3968238	-
AT1G04887	3977255	-
AT1G04890	1382599	-
AT1G04893	3991393	+
AT1G04895	1383422	-
AT1G04897	4007020	-
AT1G04900	1383841	+
AT1G04903	4007229	+
AT1G04907	4007396	-
AT1G04910	1391381	-
AT1G04913	4011493	-
AT1G04917	4013195	+
AT1G04920	1395953	-
AT1G04923	4069413	-
AT1G04927	4122474	-
AT1G04930	1399122	-
AT1G04933	4123641	+
AT1G04937	4169086	-
AT1G04940	1399182	+
AT1G04943	4191268	-
AT1G04945	1399174	+
AT1G04947	4191471	+
AT1G04950	1407531	-
AT1G04953	4257863	+
AT1G04957	4261918	+
AT1G04960	1410933	-
AT1G04963	4289280	+
AT1G04967	4339323	-
AT1G04970	1411088	+
AT1G04973	4368493	-
AT1G04977	4368980	+
AT1G04980	1416218	-
AT1G04983	4391438	+
AT1G04985	1419027	-
AT1G04987	4457513	-
AT1G04990	1421863	-
AT1G04997	4527364	-
AT1G05000	1425539	+
AT1G05003	4532450	-
AT1G05005	1429048	+
AT1G05007	4580364	-
AT1G05010	1433010	-
AT1G05013	4611526	+
AT1G05017	4693985	-
AT1G05020	1437763	-
AT1G05023	4694951	+
AT1G05027	4698167	-
AT1G05030	1441933	-
AT1G05033	4715063	-
AT1G05035	1444983	+
AT1G05037	4772952	-
AT1G05040	1448463	-
AT1G05043	4800688	+
AT1G05047	4805676	+
AT1G05053	4832651	+
AT1G05055	1450901	-
AT1G05057	4842275	+
AT1G05060	1452872	-
AT1G05063	4842276	+
AT1G05065	1455322	-
AT1G05067	4902919	+
AT1G05070	1458802	-
AT1G05073	4903303	-
AT1G05077	4916216	-
AT1G05080	1459091	+
AT1G05083	4920783	+
AT1G05085	1460988	+
AT1G05087	1463108	+
AT1G05090	1464239	+
AT1G05093	4953017	+
AT1G05097	4994874	-
AT1G05100	1469541	+
AT1G05103	4996758	+
AT1G05107	4997187	-
AT1G05113	5036521	+
AT1G05117	5051298	+
AT1G05120	1476289	-
AT1G05123	5102981	+
AT1G05127	5131512	+
AT1G05133	5146658	+
AT1G05136	1478923	+
AT1G05137	5170307	-
AT1G05140	1482546	+
AT1G05143	5179002	-
AT1G05147	5180695	+
AT1G05150	1486960	-
AT1G05153	5191674	+
AT1G05157	5280264	+
AT1G05160	1491005	-
AT1G05163	5298571	-
AT1G05167	5356794	-
AT1G05170	1494248	-
AT1G05173	5356374	+
AT1G05177	5396631	-
AT1G05180	1501953	-
AT1G05183	5402553	+
AT1G05187	5407357	-
AT1G05190	1503853	-
AT1G05193	5410827	-
AT1G05197	5421188	+
AT1G05200	1504941	+
AT1G05203	5445782	-
AT1G05205	1510341	-
AT1G05207	5447212	+
AT1G05210	1510404	+
AT1G05213	5481730	-
AT1G05217	5521896	-
AT1G05220	1511895	+
AT1G05223	5552868	+
AT1G05227	5628923	+
AT1G05230	1518900	-
AT1G05233	5642764	+
AT1G05237	5646666	+
AT1G05240	1520278	+
AT1G05243	5668939	-
AT1G05247	5686179	-
AT1G05250	1527360	-
AT1G05253	5723466	-
AT1G05257	5726556	+
AT1G05260	1529767	+
AT1G05263	5733554	-
AT1G05267	5757508	+
AT1G05270	1534767	-
AT1G05273	5758382	+
AT1G05277	5777100	+
AT1G05280	1537602	-
AT1G05283	5829035	-
AT1G05287	5837891	-
AT1G05290	1540562	-
AT1G05291	1542432	-
AT1G05293	5855751	-
AT1G05297	5857935	+
AT1G05300	1547849	-
AT1G05303	5946759	-
AT1G05307	5962530	+
AT1G05310	1552587	-
AT1G05313	5975631	-
AT1G05317	6103654	-
AT1G05320	1553568	+
AT1G05323	6106594	-
AT1G05327	6107119	-
AT1G05330	1558058	+
AT1G05333	6135345	-
AT1G05337	6142830	-
AT1G05340	1559917	-
AT1G05343	6146600	+
AT1G05347	6150189	-
AT1G05350	1564409	-
AT1G05353	6151974	+
AT1G05357	6165457	+
AT1G05360	1564491	+
AT1G05363	6206145	-
AT1G05367	6208146	+
AT1G05370	1572469	-
AT1G05373	6219399	+
AT1G05377	6219730	-
AT1G05380	1576822	+
AT1G05383	6228598	+
AT1G05385	1583760	-
AT1G05387	6269849	+
AT1G05390	1583845	-
AT1G05397	6272422	-
AT1G05400	1584073	+
AT1G05407	6449459	-
AT1G05410	1587794	-
AT1G05413	6449436	+
AT1G05417	6465869	-
AT1G05420	1589973	+
AT1G05423	6466011	-
AT1G05427	6466188	-
AT1G05430	1595923	-
AT1G05433	6466371	-
AT1G05440	1597940	-
AT1G05443	6500050	+
AT1G05447	6509012	-
AT1G05450	1599876	+
AT1G05453	6525324	+
AT1G05460	1605034	-
AT1G05463	6608519	-
AT1G05467	6610071	+
AT1G05470	1611840	-
AT1G05473	6621071	-
AT1G05477	6635338	-
AT1G05483	6643372	-
AT1G05487	6642987	+
AT1G05490	1623489	-
AT1G05493	6669795	-
AT1G05497	6670303	+
AT1G05500	1624919	+
AT1G05503	6718602	+
AT1G05507	6813647	+
AT1G05510	1629446	+
AT1G05517	6942155	-
AT1G05520	1636018	-
AT1G05523	6957968	+
AT1G05527	6959160	+
AT1G05530	1637914	-
AT1G05533	6961365	+
AT1G05537	7046378	-
AT1G05540	1639223	+
AT1G05543	7049116	+
AT1G05547	7050831	+
AT1G05550	1643917	-
AT1G05553	7093593	-
AT1G05557	7094666	-
AT1G05560	1647147	-
AT1G05562	1645300	+
AT1G05563	7176189	-
AT1G05567	7199427	-
AT1G05570	1659611	-
AT1G05575	1662259	-
AT1G05577	1664398	-
AT1G05580	1668924	-
AT1G05583	7223257	-
AT1G05587	7223713	-
AT1G05590	1669350	+
AT1G05593	7223760	+
AT1G05597	7225588	-
AT1G05600	1671916	+
AT1G05603	7225434	+
AT1G05607	7248291	+
AT1G05610	1676077	-
AT1G05613	7336952	-
AT1G05615	1678270	-
AT1G05617	7344747	+
AT1G05620	1678881	+
AT1G05623	7370611	+
AT1G05630	1682224	+
AT1G05633	7401345	+
AT1G05640	1689955	-
AT1G05643	7434105	-
AT1G05647	7460501	-
AT1G05650	1692179	-
AT1G05653	7471090	+
AT1G05657	7473011	+
AT1G05660	1696191	-
AT1G05663	7490992	+
AT1G05667	7491464	-
AT1G05670	1701065	-
AT1G05673	7491489	-
AT1G05675	1702749	-
AT1G05680	1704838	-
AT1G05683	7604410	+
AT1G05687	7681663	-
AT1G05690	1706736	+
AT1G05693	7740012	-
AT1G05697	7739737	+
AT1G05700	1709673	+
AT1G05703	7772582	-
AT1G05707	7781197	+
AT1G05710	1714818	+
AT1G05713	7797802	-
AT1G05717	7814473	+
AT1G05720	1718909	-
AT1G05723	7826621	-
AT1G05727	7829731	+
AT1G05730	1718555	+
AT1G05733	7859504	-
AT1G05737	7872850	+
AT1G05740	1720593	+
AT1G05747	7932056	-
AT1G05750	1721509	+
AT1G05753	7950049	-
AT1G05757	7952142	+
AT1G05760	1724534	-
AT1G05763	8029507	+
AT1G05767	8071789	+
AT1G05770	1726321	-
AT1G05773	8079995	-
AT1G05777	8080698	+
AT1G05780	1726558	+
AT1G05783	1729789	-
AT1G05785	1730242	+
AT1G05787	8197543	+
AT1G05790	1732802	+
AT1G05793	8205381	-
AT1G05797	8303425	-
AT1G05800	1741204	+
AT1G05803	8304028	-
AT1G05805	1744444	+
AT1G05807	8304660	+
AT1G05810	1748259	+
AT1G05813	8306115	-
AT1G05817	8320431	-
AT1G05820	1749478	+
AT1G05823	8363895	+
AT1G05827	8387640	-
AT1G05830	1754130	+
AT1G05833	8421628	-
AT1G05835	1762145	+
AT1G05837	8423069	+
AT1G05840	1766283	-
AT1G05843	8486887	+
AT1G05847	8487558	-
AT1G05850	1768837	-
AT1G05853	8525204	-
AT1G05857	8540308	-
AT1G05860	1768986	+
AT1G05863	8598624	+
AT1G05867	8610821	-
AT1G05870	1773385	-
AT1G05873	8613169	+
AT1G05880	1775643	+
AT1G05887	8649780	+
AT1G05890	1779256	+
AT1G05893	8650056	-
AT1G05894	1784736	+
AT1G05897	8650622	+
AT1G05900	1786849	+
AT1G05903	8659678	+
AT1G05907	8756303	-
AT1G05910	1790216	+
AT1G05913	8756570	-
AT1G05917	8756459	-
AT1G05920	1796778	+
AT1G05927	8836850	-
AT1G05930	1799418	+
AT1G05933	8838445	+
AT1G05937	8843774	+
AT1G05940	1804000	-
AT1G05943	8849506	-
AT1G05947	8853171	-
AT1G05950	1807670	-
AT1G05953	8852719	+
AT1G05957	8876312	+
AT1G05960	1815568	-
AT1G05963	8924454	-
AT1G05967	8941002	+
AT1G05970	1817336	-
AT1G05973	9020657	-
AT1G05977	9023037	+
AT1G05980	1817400	+
AT1G05983	9032898	-
AT1G05987	9069770	+
AT1G05990	1818392	+
AT1G05993	9076386	-
AT1G05997	9076638	-
AT1G06000	1821894	-
AT1G06002	1820254	+
AT1G06003	9159254	-
AT1G06007	9227548	-
AT1G06010	1822583	+
AT1G06013	9240864	-
AT1G06017	9247559	-
AT1G06020	1824250	+
AT1G06023	9257086	+
AT1G06027	9291723	+
AT1G06030	1826803	+
AT1G06033	9316161	-
AT1G06037	9325015	+
AT1G06040	1829983	-
AT1G06043	9424892	-
AT1G06045	1829522	+
AT1G06047	9452632	+
AT1G06050	1832555	-
AT1G06053	9459587	-
AT1G06057	9462809	-
AT1G06060	1832941	+
AT1G06063	9473652	-
AT1G06067	9473380	+
AT1G06070	1837758	-
AT1G06073	9475699	-
AT1G06080	1843463	+
AT1G06083	9483754	-
AT1G06087	9515628	+
AT1G06090	1846701	+
AT1G06093	9572689	-
AT1G06097	9572455	+
AT1G06100	1851472	+
AT1G06103	9589914	-
AT1G06110	1855378	-
AT1G06113	9794544	+
AT1G06117	9799703	-
AT1G06120	1855910	+
AT1G06123	9800843	-
AT1G06127	9848883	+
AT1G06130	1860938	-
AT1G06133	9882237	+
AT1G06135	1862184	+
AT1G06137	1863840	-
AT1G06140	1864774	+
AT1G06143	1868905	-
AT1G06147	9938600	+
AT1G06148	1877573	-
AT1G06150	1873730	-
AT1G06153	9967837	+
AT1G06157	9989790	-
AT1G06160	1882907	+
AT1G06163	10012637	+
AT1G06170	1886904	-
AT1G06173	10094622	+
AT1G06177	10095222	-
AT1G06180	1889362	+
AT1G06187	10119308	+
AT1G06190	1894194	-
AT1G06197	10128207	-
AT1G06200	1897027	-
AT1G06203	10127745	+
AT1G06207	10135097	-
AT1G06210	1897129	+
AT1G06213	10135947	-
AT1G06217	10138284	+
AT1G06220	1899951	+
AT1G06225	1905918	+
AT1G06227	10300716	-
AT1G06230	1906963	+
AT1G06233	10300351	+
AT1G06237	10300489	+
AT1G06240	1911095	+
AT1G06243	10300619	+
AT1G06247	10300749	+
AT1G06250	1914895	-
AT1G06253	10300882	+
AT1G06257	10301646	+
AT1G06260	1916430	+
AT1G06263	10308751	+
AT1G06265	1917661	-
AT1G06267	10308881	+
AT1G06270	1919760	-
AT1G06273	10309011	+
AT1G06277	10309131	+
AT1G06280	1920949	-
AT1G06283	10309265	+
AT1G06287	10328819	+
AT1G06290	1922208	+
AT1G06293	10383999	+
AT1G06297	10490022	-
AT1G06303	10489782	+
AT1G06307	10590900	-
AT1G06310	1926652	+
AT1G06313	10668129	-
AT1G06317	10667813	+
AT1G06320	1930523	+
AT1G06323	10677671	-
AT1G06327	10775823	+
AT1G06330	1932429	-
AT1G06333	10776319	-
AT1G06337	10789698	+
AT1G06340	1934103	-
AT1G06343	10803853	-
AT1G06347	10814376	-
AT1G06350	1936841	-
AT1G06353	10922072	-
AT1G06357	10928930	-
AT1G06360	1940496	-
AT1G06363	10928659	+
AT1G06373	10954288	+
AT1G06377	10981462	+
AT1G06380	1944993	+
AT1G06383	11013942	-
AT1G06387	11016492	+
AT1G06390	1946746	+
AT1G06393	11032358	+
AT1G06397	11040721	-
AT1G06400	1952880	-
AT1G06403	11061700	-
AT1G06407	11102804	-
AT1G06410	1954674	+
AT1G06413	11136397	-
AT1G06417	11140052	-
AT1G06420	1958878	+
AT1G06423	11147007	+
AT1G06427	11169645	+
AT1G06430	1963189	-
AT1G06433	11197612	+
AT1G06437	11241229	+
AT1G06440	1965209	-
AT1G06443	11300966	-
AT1G06447	11300693	+
AT1G06450	1965840	+
AT1G06453	11423487	-
AT1G06457	11435573	-
AT1G06460	1969656	-
AT1G06463	11435981	-
AT1G06467	11436272	-
AT1G06470	1969658	+
AT1G06473	11472650	-
AT1G06475	1974407	-
AT1G06480	1978084	+
AT1G06483	11473354	-
AT1G06487	11478515	+
AT1G06490	1978378	+
AT1G06493	11496107	-
AT1G06497	11497402	+
AT1G06500	1989479	+
AT1G06507	11498595	-
AT1G06510	1992229	+
AT1G06513	11498429	+
AT1G06515	1992228	-
AT1G06517	11499282	+
AT1G06520	1996355	-
AT1G06527	11598339	+
AT1G06530	2001382	+
AT1G06533	11601121	+
AT1G06537	11672483	-
AT1G06540	2003446	-
AT1G06543	11678929	-
AT1G06547	11684910	+
AT1G06550	2007212	-
AT1G06553	11685235	+
AT1G06557	11686328	+
AT1G06560	2007615	+
AT1G06567	11698857	-
AT1G06570	2013545	-
AT1G06573	11739319	-
AT1G06577	11778712	-
AT1G06580	2016255	-
AT1G06583	11779894	-
